UK_region,family_position,median_salary
"North West, England",Eldest,29000
Other,Youngest,15000
"North East, England",Youngest,25000
"South East, England (inc. London)",only,24000
Other,Eldest,30000
"North East, England",only,27000
Other,only,15000
"North West, England",Youngest,30000
Other,Eldest,25000
Other,Eldest,30000
"North West, England",Youngest,29000
"North West, England",Youngest,30000
Wales,Eldest,30000
"North West, England",middle,19000
"North West, England",Eldest,28000
"South East, England (inc. London)",middle,20000
"South West, England",Eldest,20000
"North West, England",Eldest,30000
"Midlands, England",only,30000
"Midlands, England",Eldest,35000
"Midlands, England",Eldest,28000
"Midlands, England",Youngest,40000
Other,Eldest,30000
"South East, England (inc. London)",only,21000
"North West, England",Youngest,30000
Wales,Eldest,24000
"South West, England",Eldest,40000
"North West, England",only,20000
Other,Youngest,16000
"North West, England",Eldest,26000
"Midlands, England",middle,25000
"South East, England (inc. London)",middle,30000
"North West, England",Youngest,25000
"South West, England",Eldest,27000
"South West, England",only,28000
"North East, England",Youngest,25000
"North West, England",Eldest,30000
"North West, England",Eldest,30000
"South East, England (inc. London)",Eldest,50000
"South East, England (inc. London)",Youngest,35000
"South East, England (inc. London)",Youngest,23000
"Midlands, England",Eldest,35000
Other,Eldest,27000
"North West, England",middle,25000
"South East, England (inc. London)",middle,30000
"North West, England",Youngest,20000
"North East, England",Eldest,35000
"North West, England",Youngest,25000
"North West, England",Eldest,30000
"North West, England",Eldest,20000
"North East, England",Eldest,30000
Other,Eldest,18000
Other,Youngest,18000
Wales,Eldest,26000
"South East, England (inc. London)",Eldest,30000
Other,only,60000
Other,Eldest,15000
"Midlands, England",Eldest,30000
"North West, England",Youngest,23000
Other,Eldest,25000
"North East, England",Youngest,30000
"North West, England",middle,5000
"North West, England",Eldest,25000
"North West, England",Eldest,35000
"North West, England",only,40000
"South East, England (inc. London)",Eldest,27000
"North West, England",middle,27000
"North East, England",Youngest,25000
Wales,Youngest,28000
"North West, England",Youngest,5000
"South East, England (inc. London)",Eldest,40000
"North West, England",Eldest,40000
"North West, England",middle,30000
"North West, England",only,33000
"North West, England",only,28000
"Midlands, England",Youngest,50000
"Midlands, England",Eldest,28000
Other,Youngest,30000
"North West, England",Eldest,28000
"Midlands, England",Eldest,30000
"North West, England",Youngest,40000
"South West, England",Youngest,28000
Other,Eldest,35000
"North West, England",Eldest,25000
Other,Youngest,25000
"North West, England",middle,40000
"North West, England",Youngest,5000
"South East, England (inc. London)",Eldest,35000
"South East, England (inc. London)",Youngest,30000
"North West, England",only,25000
Other,Youngest,24000
"Midlands, England",Eldest,40000
"Midlands, England",middle,35000
"North West, England",Youngest,35000
Other,Eldest,25000
"North West, England",Eldest,35000
"North East, England",Eldest,20000
Other,only,22500
Wales,middle,35000
"Midlands, England",Eldest,25000
"North East, England",only,25000
Other,Eldest,5000
"Midlands, England",Eldest,35000
"North East, England",Youngest,20000
"North West, England",Eldest,5000
"South East, England (inc. London)",Eldest,29000
"Midlands, England",Eldest,5000
"North West, England",Eldest,25000
"North West, England",Eldest,22000
"South East, England (inc. London)",Eldest,60000
"Midlands, England",Eldest,35000
"Midlands, England",Eldest,27000
Wales,Eldest,30000
Other,Eldest,10000
"South East, England (inc. London)",Eldest,28000
"North West, England",middle,26000
"Midlands, England",middle,30000
Other,Eldest,9600
"South East, England (inc. London)",Eldest,25000
Other,only,25000
"North West, England",middle,30000
"North West, England",Youngest,24000
"North West, England",Youngest,30000
"North West, England",Youngest,30000
"North West, England",Eldest,28000
"North West, England",Eldest,25000
"South East, England (inc. London)",Youngest,33000
"South East, England (inc. London)",Eldest,20000
"South East, England (inc. London)",Eldest,28000
"North West, England",Eldest,28000
"South East, England (inc. London)",Eldest,30000
Other,middle,35000
"North West, England",middle,25000
"Midlands, England",Youngest,20000
"North West, England",Eldest,30000
Other,middle,6000
Other,Youngest,30000
Other,Youngest,25000
"North East, England",Youngest,40000
"North West, England",Eldest,6000
Other,Youngest,10000
Other,Eldest,40000
"North West, England",Eldest,30000
"North West, England",only,28000
"North West, England",Youngest,40000
"North West, England",Youngest,45000
"North West, England",Youngest,21000
"North West, England",Youngest,30000
"Midlands, England",Eldest,25000
"North West, England",Eldest,30000
"North West, England",middle,27000
"North East, England",Eldest,30000
Wales,Youngest,30000
"North West, England",Eldest,26500
"North West, England",Youngest,40000
"North West, England",middle,25000
"North West, England",middle,21000
"North West, England",middle,30000
Other,middle,20000
Wales,Eldest,30000
"North West, England",Youngest,30000
"North West, England",Eldest,30000
"South East, England (inc. London)",Eldest,21000
Other,Youngest,6000
"North West, England",Youngest,30000
"North West, England",Youngest,25000
"South West, England",Eldest,30000
"North West, England",Eldest,25000
"North West, England",middle,50000
"Midlands, England",Youngest,20000
"North West, England",Youngest,18000
"North East, England",middle,25000
"Midlands, England",Eldest,30000
Wales,middle,26000
"North West, England",middle,29000
"South East, England (inc. London)",middle,30000
"North West, England",Eldest,30000
Other,only,8000
Other,Youngest,18000
"North West, England",middle,25000
"North West, England",Eldest,20000
"North West, England",Eldest,34000
Other,Youngest,25000
"South East, England (inc. London)",middle,30000
"North West, England",middle,29000
Other,Youngest,30000
Other,Eldest,25000
Other,only,8000
"North West, England",middle,25000
"North West, England",Eldest,28000
"North West, England",Eldest,25000
Other,only,25000
"North West, England",middle,25000
"Midlands, England",middle,30000
"South East, England (inc. London)",middle,40000
Other,Eldest,10000
"North West, England",middle,40000
Other,middle,33000
Other,Youngest,30000
"North West, England",Youngest,24000
"North East, England",only,27000
"South East, England (inc. London)",Youngest,30000
"North West, England",middle,25000
"North West, England",Youngest,50000