human_CC,UK_region,country_visits,visit_category
80,"South West, England",12,3
75,"North West, England",4,1
99,"North West, England",1,1
90,"South West, England",6,2
100,Northern Ireland,12,3
80,"North West, England",7,2
80,"South East, England (inc. London)",3,1
90,"North West, England",6,2
60,Wales,10,3
90,"North West, England",8,2
90,"North West, England",15,3
97,"South East, England (inc. London)",8,2
95,"South East, England (inc. London)",6,2
80,"North West, England",5,2
80,"North West, England",1,1
85,"North West, England",9,2
70,"Midlands, England",15,3
80,"North West, England",17,3
95,Not Stated,20,3
85,"North West, England",7,2
70,Not Stated,10,3
100,"North East, England",7,2
60,Not Stated,8,2
70,"South East, England (inc. London)",11,3
80,"South West, England",6,2
90,"North West, England",6,2
75,"Midlands, England",12,3
90,"North West, England",6,2
70,"North West, England",4,1
30,"North West, England",2,1
90,"North West, England",11,3
80,"North West, England",5,2
80,"South East, England (inc. London)",15,3
90,"North West, England",4,1
90,"Midlands, England",14,3
95,"North West, England",3,1
40,"South East, England (inc. London)",30,3
99,"South West, England",5,2
80,"North West, England",1,1
95,"North East, England",5,2
100,"North West, England",2,1
85,"South East, England (inc. London)",5,2
90,"South East, England (inc. London)",8,2
70,"South West, England",4,1
70,"South West, England",12,3
95,"South East, England (inc. London)",10,3
90,"North West, England",5,2
95,"Midlands, England",6,2
99,"North West, England",12,3
89,"South East, England (inc. London)",9,2
90,"South East, England (inc. London)",7,2
85,"North West, England",5,2
90,"South East, England (inc. London)",9,2
90,"Midlands, England",9,2
90,"North West, England",3,1
90,"North West, England",10,3
100,Not Stated,10,3
90,"North West, England",2,1
95,"North East, England",10,3
90,"South East, England (inc. London)",24,3
100,Wales,3,1
80,Not Stated,9,2
100,Not Stated,10,3
90,"North West, England",10,3
75,"South East, England (inc. London)",9,2
75,"North West, England",6,2
75,"South West, England",4,1
100,"North West, England",5,2
80,"South East, England (inc. London)",6,2
100,"South East, England (inc. London)",2,1
80,"Midlands, England",10,3
70,Not Stated,7,2
89,"South East, England (inc. London)",21,3
75,Wales,7,2
75,"North West, England",12,3
85,Not Stated,13,3
99,"South East, England (inc. London)",7,2
60,"North West, England",14,3
80,Wales,5,2
85,"South East, England (inc. London)",4,1
80,"Midlands, England",3,1
90,"Midlands, England",7,2
70,"North West, England",0,1
47,"North West, England",3,1
75,"North West, England",3,1
90,"North West, England",7,2
90,Not Stated,6,2
75,"South East, England (inc. London)",7,2
67,"Midlands, England",4,1
90,"South East, England (inc. London)",6,2
95,"Midlands, England",3,1
75,"North West, England",2,1
80,"South East, England (inc. London)",7,2
2,"North West, England",5,2
3,Not Stated,10,3
90,"North West, England",8,2
60,"Midlands, England",5,2
85,"South East, England (inc. London)",20,3
90,"Midlands, England",3,1
60,"North West, England",10,3
90,Not Stated,14,3
70,Not Stated,3,1
80,"North West, England",1,1
70,"North West, England",15,3
90,"Midlands, England",7,2
80,"South East, England (inc. London)",2,1
67,"Midlands, England",3,1
99,"South East, England (inc. London)",10,3
90,"Midlands, England",10,3
75,"South East, England (inc. London)",1,1
80,"South East, England (inc. London)",11,3
100,"North West, England",8,2
99,"South East, England (inc. London)",15,3
80,"Midlands, England",13,3
100,"South East, England (inc. London)",13,3
75,"North West, England",8,2
90,"North West, England",5,2
90,"South West, England",7,2
90,"North West, England",6,2
85,"North West, England",6,2
60,Northern Ireland,6,2
90,Not Stated,8,2
100,"South East, England (inc. London)",3,1
75,"North West, England",4,1
80,Not Stated,8,2
90,Wales,19,3
70,"North West, England",8,2
85,"North West, England",6,2
60,"North West, England",20,3
80,Not Stated,4,1
80,"North West, England",4,1
67,"North East, England",16,3
98,"South East, England (inc. London)",14,3
90,"South East, England (inc. London)",12,3
50,"North West, England",15,3
80,"North West, England",8,2
90,"North West, England",5,2
90,Not Stated,25,3
65,Scotland,13,3
40,"South West, England",15,3
80,"South East, England (inc. London)",7,2
100,"South East, England (inc. London)",4,1
99,"North West, England",2,1
45,"North West, England",5,2
70,Not Stated,10,3
90,"North West, England",3,1