pID,condition,time
1,control,5
1,compatible,3
1,incompatible,7
2,control,7
2,compatible,4
2,incompatible,8
3,control,6.6
3,compatible,4.1
3,incompatible,9.4
4,control,6
4,compatible,5
4,incompatible,8
5,control,10
5,compatible,6
5,incompatible,9
6,control,9
6,compatible,5
6,incompatible,9
7,control,4.6
7,compatible,4.7
7,incompatible,5.7
8,control,10
8,compatible,15
8,incompatible,20
9,control,4.8
9,compatible,2.7
9,incompatible,5.4
10,control,9
10,compatible,5
10,incompatible,8
11,control,7.8
11,compatible,5.4
11,incompatible,8.6
12,control,3.7
12,compatible,2.8
12,incompatible,4.8
13,control,4.7
13,compatible,4.6
13,incompatible,5.3
14,control,4.5
14,compatible,4.5
14,incompatible,8.2
15,control,16
15,compatible,13
15,incompatible,14
17,control,5.4
17,compatible,4.9
17,incompatible,6.5
18,control,5.5
18,compatible,2.7
18,incompatible,4.1
19,control,5.1
19,compatible,4.8
19,incompatible,6.9
20,control,7.2
20,compatible,8.9
20,incompatible,8.3
21,control,6.8
21,compatible,5.9
21,incompatible,8.4
22,control,6
22,compatible,4
22,incompatible,8
23,control,5.1
23,compatible,5.1
23,incompatible,4.9
24,control,4
24,compatible,3
24,incompatible,5
25,control,6
25,compatible,5
25,incompatible,9
26,control,7
26,compatible,4
26,incompatible,9
27,control,6
27,compatible,5
27,incompatible,8
28,control,5.8
28,compatible,4.8
28,incompatible,8.6
29,control,6
29,compatible,3
29,incompatible,7
30,control,5.4
30,compatible,3.3
30,incompatible,4.9
31,control,4.9
31,compatible,3.2
31,incompatible,6.1
32,control,5
32,compatible,3
32,incompatible,6
33,control,5
33,compatible,4
33,incompatible,6
34,control,8.3
34,compatible,6.1
34,incompatible,10.3
35,control,6.7
35,compatible,5.8
35,incompatible,6.8
36,control,5
36,compatible,3
36,incompatible,5
37,control,8.9
37,compatible,5.5
37,incompatible,7.5
38,control,14
38,compatible,11
38,incompatible,14
39,control,6.4
39,compatible,4.2
39,incompatible,7.5
40,control,5
40,compatible,8
40,incompatible,8
41,control,8
41,compatible,4
41,incompatible,10
42,control,5
42,compatible,4
42,incompatible,8
43,control,4.9
43,compatible,5.1
43,incompatible,5.4
44,control,5.7
44,compatible,4.3
44,incompatible,5.6
45,control,5
45,compatible,4.2
45,incompatible,6.3
46,control,6
46,compatible,4
46,incompatible,5
47,control,4
47,compatible,3
47,incompatible,5
48,control,5
48,compatible,4
48,incompatible,7
49,control,6
49,compatible,5
49,incompatible,9
50,control,6.6
50,compatible,5.4
50,incompatible,8.9
51,control,7
51,compatible,7
51,incompatible,12
52,control,5
52,compatible,3
52,incompatible,6
53,control,3.4
53,compatible,3.4
53,incompatible,4
56,control,7.3
56,compatible,5.4
56,incompatible,12.6
57,control,4.8
57,compatible,4
57,incompatible,8.2
58,control,4
58,compatible,3
58,incompatible,6
59,control,4.7
59,compatible,4.2
59,incompatible,6.1
60,control,8.8
60,compatible,9.2
60,incompatible,10.2
61,control,5.1
61,compatible,4
61,incompatible,7.9
62,control,4.1
62,compatible,3.8
62,incompatible,4.7
63,control,5.6
63,compatible,4
63,incompatible,6.3
64,control,10
64,compatible,7
64,incompatible,7
65,control,3.7
65,compatible,2
65,incompatible,3.9
66,control,5.2
66,compatible,3.7
66,incompatible,6.3
67,control,5
67,compatible,3
67,incompatible,6
69,control,6
69,compatible,4
69,incompatible,7
70,control,4
70,compatible,3
70,incompatible,4
71,control,6.6
71,compatible,4
71,incompatible,8.2
72,control,6
72,compatible,3.5
72,incompatible,6.6
73,control,5
73,compatible,2.9
73,incompatible,7.7
74,control,6
74,compatible,4
74,incompatible,6
75,control,4.7
75,compatible,4.4
75,incompatible,6.2
76,control,5
76,compatible,4.3
76,incompatible,5.7
77,control,5.4
77,compatible,3.4
77,incompatible,17.3
78,control,8
78,compatible,3
78,incompatible,8
79,control,7
79,compatible,6
79,incompatible,8
80,control,5
80,compatible,4
80,incompatible,9
81,control,6
81,compatible,5
81,incompatible,6
82,control,4
82,compatible,5
82,incompatible,5
83,control,6.1
83,compatible,4.2
83,incompatible,7.7
84,control,5
84,compatible,3
84,incompatible,10
85,control,3
85,compatible,2
85,incompatible,3
86,control,4.4
86,compatible,3.2
86,incompatible,5.7
87,control,7
87,compatible,3
87,incompatible,9
88,control,5
88,compatible,5
88,incompatible,10
89,control,4.7
89,compatible,4
89,incompatible,4
90,control,5
90,compatible,3
90,incompatible,5
91,control,8
91,compatible,5
91,incompatible,8
92,control,7
92,compatible,7
92,incompatible,9
95,control,7.4
95,compatible,5.8
95,incompatible,8.9
96,control,5
96,compatible,3
96,incompatible,7
97,control,4
97,compatible,3.8
97,incompatible,7
98,control,6.4
98,compatible,5.4
98,incompatible,5.7
99,control,11
99,compatible,9
99,incompatible,18
100,control,8
100,compatible,4
100,incompatible,6
101,control,5
101,compatible,4
101,incompatible,6
102,control,7.9
102,compatible,5.2
102,incompatible,8.1
103,control,6
103,compatible,4
103,incompatible,7
105,control,5.2
105,compatible,4.8
105,incompatible,5.8
106,control,5
106,compatible,3
106,incompatible,8
107,control,6.8
107,compatible,4.6
107,incompatible,12
108,control,5
108,compatible,5.3
108,incompatible,5.8
109,control,5.5
109,compatible,6.4
109,incompatible,7.1
110,control,6
110,compatible,5
110,incompatible,5
111,control,6.9
111,compatible,3.7
111,incompatible,7.5
112,control,4.3
112,compatible,4.3
112,incompatible,8.4
113,control,4.9
113,compatible,3.1
113,incompatible,5.9
114,control,5.3
114,compatible,4.7
114,incompatible,7
116,control,7
116,compatible,4
116,incompatible,8
117,control,5.1
117,compatible,3.1
117,incompatible,7.1
118,control,4
118,compatible,3
118,incompatible,5
119,control,3.8
119,compatible,3.2
119,incompatible,6
120,control,6
120,compatible,4.6
120,incompatible,11.5
121,control,5
121,compatible,4
121,incompatible,5
123,control,4.5
123,compatible,4.3
123,incompatible,4.9
124,control,6
124,compatible,5
124,incompatible,11
125,control,24.8
125,compatible,17.2
125,incompatible,18.2
126,control,9.4
126,compatible,6.5
126,incompatible,11.4
127,control,10
127,compatible,30
127,incompatible,20
128,control,6
128,compatible,4
128,incompatible,8
129,control,5
129,compatible,4
129,incompatible,9
131,control,6
131,compatible,5
131,incompatible,7
132,control,4.9
132,compatible,4.4
132,incompatible,4.8
133,control,6
133,compatible,4
133,incompatible,5
134,control,8
134,compatible,7
134,incompatible,10
135,control,6
135,compatible,4
135,incompatible,6
136,control,9
136,compatible,6
136,incompatible,10
137,control,6
137,compatible,7
137,incompatible,9
138,control,7
138,compatible,7
138,incompatible,7
139,control,5
139,compatible,4
139,incompatible,6
140,control,5.4
140,compatible,4.6
140,incompatible,7.9
142,control,5.8
142,compatible,4.7
142,incompatible,6.2
143,control,10
143,compatible,8
143,incompatible,7
144,control,5.4
144,compatible,5.3
144,incompatible,6.6
145,control,6.8
145,compatible,6
145,incompatible,6.1
146,control,4
146,compatible,2
146,incompatible,5
147,control,7.6
147,compatible,4.9
147,incompatible,7.8
148,control,4
148,compatible,3
148,incompatible,5
149,control,6
149,compatible,4
149,incompatible,8
150,control,7
150,compatible,4
150,incompatible,6
151,control,4.5
151,compatible,5
151,incompatible,5.7
152,control,8.4
152,compatible,6.7
152,incompatible,10.4
153,control,5.5
153,compatible,4.7
153,incompatible,9.6
154,control,6.6
154,compatible,4.7
154,incompatible,7.6
155,control,4.7
155,compatible,4.8
155,incompatible,7.8
156,control,5
156,compatible,3
156,incompatible,7
157,control,7
157,compatible,3
157,incompatible,8
158,control,6
158,compatible,6
158,incompatible,10
159,control,30
159,compatible,30
159,incompatible,30
160,control,7
160,compatible,5
160,incompatible,8
161,control,6
161,compatible,4
161,incompatible,8
162,control,4
162,compatible,3.1
162,incompatible,7.1
163,control,7.8
163,compatible,5.1
163,incompatible,9.2
164,control,6.4
164,compatible,5.4
164,incompatible,11.7
165,control,6.4
165,compatible,5.5
165,incompatible,8.8
166,control,6
166,compatible,5.8
166,incompatible,9.1
167,control,5.8
167,compatible,3.5
167,incompatible,6.2
168,control,7
168,compatible,5
168,incompatible,9
169,control,8
169,compatible,3
169,incompatible,7
170,control,11
170,compatible,9
170,incompatible,12
171,control,5
171,compatible,4
171,incompatible,7
172,control,5
172,compatible,7
172,incompatible,8
173,control,16
173,compatible,15
173,incompatible,17
174,control,4
174,compatible,4
174,incompatible,7
175,control,5
175,compatible,6
175,incompatible,6
176,control,3.5
176,compatible,2.8
176,incompatible,5.9
177,control,5.7
177,compatible,3.2
177,incompatible,9.8
178,control,5
178,compatible,3
178,incompatible,8
179,control,3
179,compatible,3
179,incompatible,5
180,control,8
180,compatible,5
180,incompatible,9
181,control,3.7
181,compatible,2.4
181,incompatible,3.9
182,control,4.2
182,compatible,4.4
182,incompatible,5
184,control,8
184,compatible,15
184,incompatible,13
186,control,10
186,compatible,8
186,incompatible,13
187,control,8
187,compatible,4
187,incompatible,8
188,control,7
188,compatible,3
188,incompatible,10
189,control,6.2
189,compatible,4
189,incompatible,5.4
190,control,4.9
190,compatible,4.1
190,incompatible,6.2
193,control,9.5
193,compatible,7
193,incompatible,11
194,control,12
194,compatible,14
194,incompatible,17
195,control,9
195,compatible,4
195,incompatible,7
196,control,5
196,compatible,4
196,incompatible,6
197,control,18
197,compatible,17
197,incompatible,16.5
